,0
0,Colorado
1,Connecticut
2,Delaware
3,Georgia
4,Hawaii
5,Illinois
6,Indiana
7,Iowa
8,Kentucky
9,Louisiana
10,Maine
11,Maryland
12,Massachusetts
13,Michigan
14,Minnesota
15,Mississippi
16,Missouri
17,Montana
18,Nebraska
19,Nevada
20,New Hampshire
21,New Jersey
22,New Mexico
23,New York
24,North Carolina
25,North Dakota
26,Ohio
27,Oklahoma
28,Pennsylvania
29,Rhode Island
30,South Carolina
31,South Dakota
32,Tennessee
33,Vermont
34,Virginia
35,Washington
36,West Virginia
37,Wisconsin
