,0
0,Colorado
1,Connecticut
2,Delaware
3,Hawaii
4,Illinois
5,Indiana
6,Kansas
7,Maine
8,Maryland
9,Massachusetts
10,Mississippi
11,Missouri
12,Montana
13,Nebraska
14,New Hampshire
15,New Jersey
16,New Mexico
17,North Carolina
18,North Dakota
19,Ohio
20,Oklahoma
21,Oregon
22,Pennsylvania
23,Rhode Island
24,South Carolina
25,South Dakota
26,Tennessee
27,Utah
28,Vermont
29,Virginia
30,West Virginia
